id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
10542	cyber-crimes	-0.1317	0.5545	1	89	1080	181	2021.4917
10616	cyber-physical systems	-0.4541	0.8935	3	99	2218	330	2021.3394
10649	cyber-security	-0.0016	0.6045	3	106	2013	435	2021
10664	cyber-security educations	-0.8632	-0.1627	1	72	738	186	2021.0753
10723	cyberattack	-0.3649	-0.3976	4	97	910	166	2021.1807
10760	cybercrime	-0.3995	0.163	1	90	915	246	2021.0772
10838	cybersecurity	0.0613	-0.1633	1	106	30223	7594	2021.3139
11684	data mining	0.5571	-0.3761	2	99	1090	222	2021.0676
11740	data privacy	-0.5041	-0.4235	1	106	1539	325	2021.1508
12165	decision making	-0.4944	0.0757	1	105	2036	442	2021.1652
12217	decision trees	1.1475	0.1404	2	99	2547	347	2021.2277
12302	deep learning	0.8585	-0.3668	2	102	6318	1047	2021.2273
12339	deep neural networks	1.1069	-0.2852	2	90	1557	224	2021.1562
12623	denial-of-service attack	0.5889	0.1734	2	103	2570	424	2021.25
13611	digital storage	-0.1681	-0.567	1	106	1437	267	2021.1273
13645	digital transformation	-0.709	-0.2212	1	88	658	176	2021.1023
14878	e-learning	-0.0796	-0.5284	1	99	959	199	2021.1558
15514	electric power transmission networks	-0.0852	0.9856	3	102	3729	613	2021.0473
15929	embedded systems	-0.4178	0.7231	3	102	4291	694	2021.0764
16469	engineering education	-0.6909	-0.3196	1	95	908	197	2021.2284
17997	feature extraction	1.1542	-0.1114	2	92	1627	251	2021.2709
18730	forecasting	0.5419	0.0384	2	97	943	164	2021.1402
20785	health care	-0.5802	-0.49	1	98	1039	187	2021.2086
21641	human	-0.5056	-0.8816	4	103	1639	327	2021.0673
21886	humans	-0.4119	-0.9646	4	95	1087	215	2021.0605
22977	industrial control systems	-0.1957	0.7036	3	101	1800	339	2021.0472
23119	industry 4.0	-0.4867	-0.1548	1	93	1230	302	2021.1291
23398	information management	-0.5907	0.1304	1	105	1856	341	2021.2287
23449	information security	-0.6017	-0.2793	1	98	1216	348	2021.0718
23576	information systems	-0.8609	-0.0121	1	103	1378	283	2020.8905
23644	information use	-0.8142	0.0888	1	101	1461	281	2020.9217
24341	intelligent systems	-0.2505	-0.1559	1	97	829	166	2020.988
24812	internet of things	0.2774	-0.5089	1	106	8098	1417	2021.1496
24813	internet of things (iot)	0.3113	-0.6989	1	105	1911	329	2020.8571
24855	internet protocols	0.4367	-0.0051	1	94	856	170	2021.0647
25048	intrusion detection	0.9033	0.3607	2	105	7840	1153	2021.1804
25071	intrusion detection system	1.1441	0.3181	2	90	1899	253	2021.3241
25083	intrusion detection systems	1.0718	0.4749	2	99	4245	526	2021.1274
25115	intrusion-detection	0.9263	0.5603	2	94	2217	265	2021.6755
25231	iot	0.0586	-0.7288	1	105	2131	403	2021.0993
26514	learning algorithms	1.0214	-0.0504	2	104	3859	542	2021.2066
26601	learning systems	0.7431	0.017	2	106	5482	801	2021.0861
26817	life cycle	-0.7013	0.1954	1	94	790	179	2021.1676
27352	long short-term memory	1.0326	0.1323	2	91	1273	185	2021.2865
27606	machine learning	0.6826	-0.2033	2	106	10029	1737	2021.2193
27667	machine-learning	0.8896	0.0957	2	104	4980	650	2021.7354
27879	malware	0.5607	-0.5247	2	106	4541	866	2021.1455
27906	malware detection	0.8325	-0.6203	2	90	1282	233	2021.1845
27957	malwares	0.7032	-0.6259	2	89	1093	172	2021.7267
30959	national security	-0.5804	0.3959	1	90	775	187	2021
31201	network architecture	0.4041	-0.1826	1	101	1698	294	2021.1769
31467	network security	0.3757	0.4285	3	106	20529	3710	2021.1332
31698	neural networks	0.8903	-0.1058	2	98	1541	248	2021.0121
34329	performance	0.6906	-0.3969	2	95	1086	182	2021.5824
34456	personal computing	0.3545	0.0753	1	106	2407	431	2021.116
34665	phishing	0.4813	-0.0903	2	88	1313	269	2021.3494
36068	privacy	-0.564	-0.6178	1	101	1746	379	2021.0501
36095	privacy by design	-0.2783	-0.5304	1	94	884	195	2020.5949
37222	public works	-0.6818	0.651	3	91	1056	172	2021.1279
39416	risk analysis	-0.8619	0.4351	1	88	1167	221	2021.0498
39433	risk assessment	-0.7124	0.3452	1	105	4151	860	2021.1
39512	risk management	-0.8372	0.1935	1	101	1840	426	2021.1479
39553	risk perception	-0.8171	0.3175	1	91	872	171	2021.0234
40113	safety engineering	-0.6998	0.48	1	90	876	193	2020.8031
40890	security	-0.4392	-0.2636	1	106	3589	795	2021.1057
40920	security and privacy	-0.2506	-0.6245	1	96	881	164	2020.9695
41224	security of data	-0.6556	-0.0601	1	103	5732	1820	2020.4896
41384	security systems	-0.5196	0.2471	1	106	2207	427	2020.9883
41400	security threats	-0.3041	-0.0446	1	104	1269	236	2021.0932
42815	smart city	-0.0939	-0.4432	1	98	1021	186	2021.086
42883	smart grid	-0.0582	0.8581	3	97	2587	414	2021.1957
43015	smart power grids	0.0531	1.0265	3	99	3105	467	2021.1478
43297	social networking (online)	0.3644	-0.2826	1	86	743	168	2021.006
45034	students	-0.7902	-0.3008	1	95	1395	347	2021.0115
45326	support vector machines	1.182	0.038	2	99	1597	216	2021.1528
45405	surveys	-0.4362	-0.061	1	106	1619	320	2020.9844
49529	vehicles	-0.3698	0.3718	1	89	838	168	2021.1905
50091	vulnerability	-0.4751	0.3774	1	97	914	201	2021.1592
