id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
110	5g mobile communication systems	0.3868	-0.3586	1	99	1102	203	2021.1527
1723	anomaly detection	0.6968	0.3068	2	102	3256	578	2021.1003
1962	application programs	-0.3417	-0.1652	1	104	824	182	2021.1264
2190	article	-0.4024	-0.8465	4	95	1106	202	2021.0446
2218	artificial intelligence	0.0732	-0.5534	1	106	3977	840	2021.1131
2512	attack detection	0.7414	0.5722	3	95	1490	216	2021.2361
2823	authentication	-0.283	-0.2961	1	103	1823	409	2021.1687
3104	automation	0.2107	0.1311	1	106	2129	414	2021.1401
3834	behavioral research	-0.3887	0.0272	1	101	1106	252	2021
4043	big data	0.1884	-0.6937	1	101	1392	293	2021.041
4400	block-chain	-0.441	-0.4998	1	95	1497	242	2021.6157
4403	blockchain	-0.39	-0.5938	1	101	2483	556	2021.1259
5936	classification (of information)	1.017	-0.2007	2	97	2877	451	2021.2084
6151	cloud computing	-0.0884	-0.676	1	100	1045	220	2021.15
7464	computer crime	0.6045	0.728	3	105	9858	1480	2021.1446
7565	computer security	-0.2652	-0.815	4	105	2325	430	2021.1279
8434	control systems	-0.294	0.6525	3	97	1233	223	2021.0045
8585	convolutional neural networks	1.039	-0.3928	2	90	1362	220	2021.2409
8958	covid-19	-0.673	-0.4559	4	79	656	181	2021.1878
9062	crime	0.3612	0.862	3	104	6152	905	2021.1646
9194	critical infrastructures	-0.6107	0.6879	3	94	1422	252	2021.0556
9423	cryptography	-0.2438	-0.4226	1	106	2582	566	2021.1025
9601	curricula	-0.8633	-0.2282	1	80	771	186	2021
9925	cybe-physical systems	-0.3608	1.0246	3	92	1448	171	2021.8187
9990	cyber attacks	0.2499	1.0621	3	106	3283	447	2021.5548
10178	cyber physical system	-0.2918	0.8923	3	102	3626	558	2021.2115
10259	cyber security	-0.082	0.2356	1	106	32261	7833	2021.1923
10467	cyber threats	-0.3188	0.458	1	105	2274	472	2021.2775
10527	cyber-attacks	0.1512	0.7194	3	106	7899	1267	2021.322
