id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
289	anomaly detection	-0.8846	0.2619	3	20	42	60	2014.05
515	authentication	0.9027	-0.2439	2	13	38	47	2013.0851
684	big data	0.8598	-0.0215	2	23	46	54	2015.0926
778	botnet	-0.1637	0.0171	3	15	21	35	2013.5714
1062	cloud computing	0.597	-0.324	2	27	63	77	2014.0909
1336	computer security	0.3596	0.1169	2	34	73	99	2012.8081
1476	control systems	-0.1629	-1.0048	1	19	29	31	2010.871
1623	critical infrastructure	-0.4525	-0.0257	1	27	64	74	2013.5541
1676	cryptography	0.7254	-0.5359	2	14	39	43	2013.6047
1736	cyber attack	-0.4948	-0.9455	1	17	39	47	2013.2979
1746	cyber attacks	-0.9779	-0.4771	1	16	31	39	2014
1772	cyber crime	0.0476	-0.9705	1	13	26	31	2012.9677
1884	cyber security	-0.2162	-0.5104	1	44	631	1269	2013.4468
2017	cyber-attack	-0.7461	0.5286	3	17	29	31	2015
2057	cyber-physical security	-1.1469	-0.2865	1	10	14	40	2014.625
2066	cyber-physical systems	-0.2566	0.1125	1	20	48	59	2014.5932
2081	cyber-security	-0.543	0.6809	3	36	80	174	2013.431
2127	cybercrime	0.3163	0.9841	2	20	71	81	2014.0247
2169	cybersecurity	0.3293	0.5998	2	43	433	807	2014.0273
2251	cyberspace	-0.1178	0.9174	2	17	49	56	2014.125
2934	education	0.7967	0.7807	2	17	42	50	2013.96
3560	game theory	-0.4299	0.2375	1	21	39	48	2014.0208
4238	industrial control systems	-0.9611	-0.0759	1	22	29	35	2014.1714
4295	information assurance	0.7843	-0.3964	2	16	26	36	2011.0833
4346	information security	0.3055	-0.7414	1	34	128	163	2013.1104
4619	internet	-0.1087	0.7207	2	19	40	50	2013.14
4641	internet of things	0.8656	0.5675	2	20	41	44	2015.5
4690	intrusion detection	-0.6955	0.1702	3	22	75	88	2013.2955
5162	machine learning	-0.6196	0.387	3	16	43	57	2014.5088
5200	malware	0.0042	0.0852	3	30	58	71	2014.0282
5783	network security	-0.1717	0.3602	2	23	41	61	2012.6885
6044	ontology	0.2731	-0.2145	1	12	26	35	2013.6571
6583	privacy	1.0183	0.2305	2	28	90	104	2013.8269
7063	resilience	0.3346	-0.3568	1	22	30	37	2014.1892
7123	risk	-0.2364	0.5668	3	21	30	33	2013.7576
7126	risk assessment	0.1205	-0.1221	1	20	65	70	2013.8571
7140	risk management	0.546	-0.665	1	22	48	65	2012.8923
7267	scada	-0.7569	-0.1312	1	30	114	125	2012.712
7400	security	0.6735	0.2921	2	42	248	362	2013.4724
7824	simulation	-0.0098	0.279	1	18	28	32	2013.5625
7857	situational awareness	0.2655	-0.4884	1	16	28	39	2014.1795
7900	smart grid	-0.6931	-0.5803	1	36	182	222	2013.5586
8828	trust	0.4776	-0.0773	2	25	30	36	2014.3611
9126	visualization	0.6076	-0.1137	3	15	27	31	2013.2903
9162	vulnerability	-0.365	0.4125	3	24	42	47	2012.9787
