id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
153	access control	1.0544	0.0017	2	20	69	44	2015.8864
732	anomaly detection	-0.392	0.9415	3	54	273	211	2017.1043
988	artificial intelligence	0.6081	0.8351	3	57	269	131	2018.1069
1211	attacks	-0.0082	0.1158	1	44	88	41	2016.6829
1273	authentication	0.9021	-0.0003	2	43	196	117	2016.1453
1496	awareness	0.2532	-0.9169	2	39	115	56	2016.5
1735	big data	0.5483	0.6807	2	70	380	197	2017.3756
1899	blockchain	0.8771	0.5091	2	54	254	130	2018.4615
1961	botnet	0.3802	0.8285	3	38	122	74	2015.9595
2595	classification	0.382	0.9686	3	34	96	58	2017.2931
2648	cloud	0.7925	-0.2565	2	48	131	58	2016.7414
2655	cloud computing	0.4322	0.4778	2	59	293	177	2016.3503
3245	computer security	0.0842	-0.0186	2	69	210	135	2014.2148
3582	control systems	-0.6521	-0.2555	1	36	97	41	2012.561
3905	critical infrastructure	-0.6111	-0.5146	1	70	303	150	2015.8
3913	critical infrastructure protection	-0.9016	0.2297	1	39	86	62	2015.7581
3922	critical infrastructures	-0.5431	-0.2792	1	48	113	57	2016.5614
4030	cryptography	0.515	0.3317	2	49	223	103	2016.233
4113	curriculum	0.6628	-0.9253	2	22	75	41	2016.0488
4145	cyber	0.1046	-0.9763	2	41	113	68	2016.4265
4166	cyber attack	-0.638	0.114	1	56	187	101	2015.9406
4187	cyber attacks	-0.8366	0.1544	1	54	138	88	2016.2841
4234	cyber crime	0.0872	0.3329	1	41	103	56	2015.2679
4256	cyber defense	-0.1573	-0.7176	1	36	76	49	2016.2857
4395	cyber physical systems	-0.513	0.5685	1	32	108	50	2017.16
4447	cyber security	-0.2803	0.3302	1	109	3080	2835	2016.0554
4657	cyber threat	-0.2581	-0.1774	1	42	90	46	2017.3913
4677	cyber threats	0.0714	-0.1821	2	52	139	74	2016.5135
4691	cyber warfare	0.0005	0.4482	1	30	77	49	2015.6735
4711	cyber-attack	-0.7442	0.0209	1	47	140	86	2016.9535
4723	cyber-attacks	-0.532	-0.1288	1	44	131	87	2017.5632
4803	cyber-physical security	-0.8532	0.5457	1	43	119	123	2017.0488
4816	cyber-physical system	-0.643	0.6133	1	35	103	57	2016.7719
4822	cyber-physical systems	-0.3578	-0.0787	1	65	343	199	2017.1256
4858	cyber-security	-0.5329	0.0312	1	94	423	431	2016.2622
4928	cyberattack	0.2409	-0.3637	2	42	121	71	2016.7606
4937	cyberattacks	0.8949	-0.1517	2	47	153	73	2016.9178
4955	cybercrime	0.3697	-0.4467	2	73	375	193	2016.4611
5038	cybersecurity	0.4522	-0.0783	2	110	3185	2782	2017.0216
5131	cybersecurity education	0.4474	-1.0029	2	21	39	83	2017.3253
5308	cyberspace	0.0402	-0.6496	2	57	207	121	2016.3471
5545	data mining	0.0633	0.8166	3	42	147	81	2016.321
5570	data protection	0.7982	0.0532	2	28	85	47	2017.1277
5592	data security	0.2129	0.2005	2	41	100	61	2015.377
5689	ddos	0.4024	0.613	3	40	92	40	2016.65
5801	deep learning	0.339	1.1172	3	39	269	143	2018.4056
6200	digital forensics	0.2378	0.3505	2	32	78	56	2016.7143
6949	education	0.4903	-0.8964	2	55	241	131	2016.6489
7264	encryption	0.3277	0.2734	2	36	151	85	2016.5882
7543	ethics	1.0057	-0.1184	2	33	81	43	2016.9535
8448	game theory	-0.112	-0.0267	1	38	163	125	2016.552
8687	governance	0.3217	-0.8423	2	31	88	47	2016.0213
8931	hacking	0.2405	-0.5535	2	45	146	68	2016.7353
9428	human factors	-0.3054	-0.2463	1	35	86	61	2017
9662	ics	-0.7999	-0.5114	1	29	125	48	2016.625
9731	ids	-0.0935	0.7619	3	38	94	47	2016.7021
9754	iec 61850	-0.5007	0.668	1	29	69	50	2015.6
10059	industrial control system	-0.905	0.3828	1	29	92	51	2015.8235
10063	industrial control systems	-0.7223	-0.1326	1	61	260	110	2016.9
10123	industry 4.0	0.9793	0.3836	2	39	129	71	2018.4789
10197	information assurance	-0.0184	-0.1171	1	32	82	53	2013.2453
10284	information security	-0.0975	-0.2712	1	95	561	359	2015.9053
10350	information sharing	0.1185	-0.3107	1	32	105	67	2015.9552
10376	information technology	0.1194	-0.5517	2	48	116	55	2014.9636
10841	internet	0.2109	-0.6774	2	48	164	85	2015.1882
10884	internet of things	0.7716	0.3735	2	79	572	268	2017.7463
10885	internet of things (iot)	0.5877	0.5077	2	43	147	78	2018.2436
10995	intrusion detection	-0.168	0.9037	3	70	432	240	2016.4375
11005	intrusion detection system	-0.1908	1.0817	3	39	124	83	2017.3494
11092	iot	0.97	0.208	2	76	526	231	2018.1255
12081	machine learning	0.1593	0.9621	3	77	711	431	2017.8654
12185	malware	0.2207	0.6168	3	67	391	197	2016.6853
12196	malware detection	0.1476	1.2146	3	21	87	62	2017.0968
13383	national security	-0.0462	-0.717	1	33	83	44	2015.75
13494	network	0.105	0.0935	4	39	87	43	2016.1163
13611	network security	0.0001	0.6259	3	69	248	159	2016.0943
14200	ontology	-0.361	0.6604	1	32	78	67	2015.9403
14857	phishing	0.0891	-0.4237	3	47	193	107	2017.1963
15040	policy	0.1317	-0.8463	2	34	112	48	2015.125
15397	privacy	0.968	-0.3452	2	80	652	300	2016.61
16055	ransomware	0.2481	0.4675	3	44	142	63	2018.0952
16474	resilience	-0.2096	-0.5231	1	52	175	97	2016.567
16602	risk	-0.0791	-0.8867	4	53	177	81	2016.4074
16605	risk analysis	-0.6015	-0.6693	1	40	111	63	2016.0952
16608	risk assessment	-0.4261	-0.4184	1	64	266	155	2016.2516
16641	risk management	-0.2585	-0.773	1	66	258	157	2016.0318
16878	safety	0.4074	-0.7072	2	43	161	87	2017.2874
16970	scada	-0.8813	-0.2014	1	78	498	223	2015.009
17253	security	0.6418	-0.508	2	109	1397	810	2016.0247
17476	security metrics	-0.8444	0.0058	1	22	51	40	2015.3
18057	simulation	-0.5538	-0.3911	1	48	117	75	2016.1467
18113	situation awareness	-0.5916	0.7286	1	23	56	42	2015.619
18125	situational awareness	-0.7398	0.2262	1	35	103	66	2015.697
18200	smart cities	0.7594	0.624	2	32	99	48	2017.8333
18207	smart city	0.7867	0.2175	2	29	78	42	2018.1667
18240	smart grid	-0.7076	0.3926	1	79	703	435	2015.7977
18278	smart grids	-0.4358	-0.1998	1	39	111	68	2016.25
18441	social engineering	-0.0588	-0.4696	3	35	116	71	2017.4789
18464	social media	0.6449	0.201	2	32	104	64	2017.0781
18902	standards	-0.3	-0.6195	1	42	133	55	2014.9818
18917	state estimation	-1.0306	0.5298	1	19	82	54	2016.4444
19839	testbed	-1.0019	0.0484	1	31	89	42	2015.5476
19932	threat	-0.3735	-0.8034	4	44	133	55	2016.4364
20002	threats	-0.1211	-0.613	1	55	179	73	2016.7534
20221	training	0.3123	-0.989	2	38	131	62	2016.6613
20355	trust	0.533	-0.7301	2	51	180	88	2016.5909
21040	virtualization	0.1419	0.4015	2	29	64	41	2015.6829
21089	visualization	-0.25	0.7425	3	39	97	63	2015.873
21153	vulnerabilities	-0.2626	-0.3846	1	54	169	83	2016.5181
21155	vulnerability	-0.4243	-0.5716	4	63	230	107	2015.9439
21157	vulnerability assessment	-0.7678	-0.3662	1	37	98	56	2016
