id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
31910	smart meters	0.7561	-0.4754	2	154	336	43	2018.9535	28.2558	1.7214
31936	smart power grids	0.9295	-0.4948	2	128	309	36	2019.1389	21.8611	1.1298
32025	smartphone	-0.7563	0.162	1	59	81	19	2018.6842	21.2632	1.2731
32042	sme	-0.8094	-0.5265	1	60	91	20	2019.6	7.35	0.5017
32046	smes	-1.003	-0.4342	1	68	103	22	2019.5	6.6364	0.6169
32056	smote	-0.2576	1.01	4	60	90	20	2021.25	16.3	1.6482
32129	social engineering	-1.0941	-0.1745	1	159	437	106	2019.066	17.8491	0.9309
32170	social media	-1.0288	-0.1332	1	167	426	95	2019.4947	12.2211	0.813
32195	social network analysis	-1.0337	-0.1107	1	59	88	31	2018.2581	9.5806	0.5843
32204	social networking (online)	-0.4067	0.079	1	110	170	23	2021.4783	8.2174	0.8774
32210	social networks	-1.0682	-0.1353	1	82	116	32	2018.2812	17	0.871
32304	sociology	-0.647	-0.1595	1	82	97	15	2019.8667	11.3333	1.0566
32336	software	-0.0959	0.0498	4	302	689	104	2020.4038	14.3942	1.1379
32372	software defined networking	0.3158	0.5856	5	114	213	37	2020.027	16.3514	1.1996
32376	software defined networks	0.2898	0.6679	5	70	114	22	2019.2273	14.7273	0.9313
32431	software security	-0.2324	-0.4537	5	56	83	40	2018.1	10.425	0.6018
32474	software-defined networking	0.2747	0.6055	5	177	419	71	2019.8169	24.507	1.4603
32605	spam	-1.1288	-0.0187	1	64	120	30	2017.7333	17.2	0.9871
32770	spoofing	0.4585	0.1212	2	43	76	20	2020.05	7.55	0.6323
32835	stability	1.008	-0.2181	2	218	527	99	2019.8586	23.3232	1.4136
32836	stability analysis	1.005	-0.1926	2	185	372	56	2020.3571	32.5	2.3134
32847	stabilization	1.0323	-0.1786	2	110	243	36	2020.4722	26.9722	1.8012
32891	stakeholders	-0.7356	-0.3744	1	110	167	19	2021.7368	5.8947	0.8327
32911	standardization	-0.1915	-0.0416	1	78	111	19	2019.3684	53.9474	3.0767
32913	standards	-0.0079	-0.1033	5	320	824	110	2019.7909	16.9545	1.2469
32914	standards organizations	-0.7216	-0.3501	1	64	93	12	2021.75	6.0833	0.8041
32926	state	-0.206	-0.3621	1	172	277	59	2019.8305	14.9831	0.9755
32943	state estimation	1.0461	-0.3979	2	410	2476	389	2019.6144	34.1388	1.9307
33005	static analysis	-0.392	0.6995	4	64	140	44	2019.5909	9.5227	0.7988
33123	steganography	0.2254	-0.1758	3	77	135	34	2018.7941	8.6176	0.7716
33175	stochastic game	0.69	0.1489	2	60	87	17	2019.2941	27.1176	1.5587
33202	stochastic processes	0.743	-0.1684	2	114	195	26	2021.1923	11.2692	1.2507
33225	storage	0.6517	-0.4181	2	119	197	28	2020.4286	18.1429	1.2748
33295	strategies	-0.5693	-0.4083	1	194	335	60	2019.3167	32.8	2.0136
33296	strategy	0.1163	-0.373	1	273	555	93	2020	17.1183	1.2373
33413	students	-1.0971	-0.2226	1	67	106	28	2020.1786	9.3929	0.6305
33417	stuxnet	-0.4323	-0.3389	1	166	337	80	2017.625	25.4875	1.2575
33441	subject	1.0621	-0.1767	2	85	195	31	2021.3226	13.2903	1.377
33464	substation	0.2486	-0.6076	5	60	93	15	2019.7333	10.6667	0.6083
33465	substation automation	0.4601	-0.737	5	61	105	16	2017.0625	15.0625	0.8783
33483	substations	0.7065	-0.5844	2	138	322	38	2020.8684	11.5263	0.9795
33555	supervised learning	-0.2325	0.81	4	111	208	36	2020.5556	46.0833	4.1698
33559	supervised machine learning	-0.4048	0.9048	4	53	75	20	2020.25	25.5	1.686
33565	supervisory control	0.6005	-0.1806	2	90	163	29	2020.2069	26.4138	1.6304
33567	supervisory control and data acquisition	0.1543	-0.361	5	91	152	23	2018.7826	17.4783	0.8465
33568	supervisory control and data acquisition (scada)	0.3255	-0.7024	5	57	119	28	2018.3571	65.25	2.6771
33583	supply chain	-0.6313	-0.4804	1	161	385	65	2020.1385	21.1077	1.5968
33595	supply chain management	-0.5823	-0.3754	1	122	294	38	2020.8158	37.4211	3.0878
33613	supply chains	-0.5256	-0.3401	1	103	165	23	2020.6522	17.3478	2.0875
33620	support	-0.2682	0.5544	4	114	198	34	2019.9706	29.9412	1.8286
33624	support vector machine	-0.2409	0.8985	4	126	246	46	2019.2391	19.8043	1.2536
33629	support vector machines	-0.1642	0.7616	4	197	433	54	2020.1111	28.0741	1.8551
33650	surveillance	-0.6019	0.027	1	177	311	63	2019.127	14.5238	0.9293
33655	survey	-0.5475	0.0521	1	265	589	88	2019.2273	48.7273	2.7516
33673	susceptibility	-1.0721	-0.2067	1	68	117	18	2020.2778	11.7222	0.8341
33679	sustainability	-0.579	-0.2923	1	201	495	68	2020.7647	19.2059	1.5933
33697	sustainable development	-0.7639	-0.186	1	104	178	27	2019.7037	20.3704	1.2951
33733	svm	-0.3024	1.0041	4	102	234	42	2019.7857	33.381	2.0107
33773	switches	0.9253	-0.0907	2	126	233	32	2021.4062	12.75	1.6199
33827	symmetric matrices	1.0424	-0.2107	2	80	142	18	2021.4444	32.5	2.9105
33839	synchronization	1.0139	-0.207	2	138	291	52	2020.3077	15.4038	1.1445
33888	system	-0.0756	0.1355	3	622	2974	451	2020.0089	34.1109	2.0757
33985	system security	0.7275	-0.2991	2	93	140	34	2018.3824	30.9706	1.4753
34022	systematic literature review	-0.5458	-0.2593	1	191	377	48	2020.6458	20.3333	1.5024
